Combination,Columns,Combination length,Number of features,R2 train,R2 test
"('googletrends', 'casos')","['const', 'casos__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",2,4,0.7306982749485644,0.7260270739250896
"('googletrends', 'casos')","['const', 'casos__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",2,4,0.7306982749485644,0.7260270739250896
"('googletrends', 'casos')","['const', 'casos__num_casos__lag_10', 'googletrends__toque de queda__lag_5']",2,3,0.7245311872257354,0.7222955549597165
"('googletrends', 'casos')","['const', 'casos__num_casos__lag_10', 'googletrends__toque de queda__lag_5']",2,3,0.7245311872257354,0.7222955549597165
"('googletrends', 'casos')","['const', 'casos__num_casos__lag_10', 'googletrends__fiebre__lag_15']",2,3,0.6836768107486562,0.6488045269222966
"('googletrends', 'casos')","['const', 'casos__num_casos__lag_10', 'googletrends__fiebre__lag_15']",2,3,0.6836768107486562,0.6488045269222966
"('googletrends', 'casos')","['const', 'casos__num_casos__lag_10']",2,2,0.6832264270959794,0.6487938980359715
"('googletrends', 'casos')","['const', 'casos__num_casos__lag_10']",2,2,0.6832264270959794,0.6487938980359715
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5']",2,2,0.32856144228583395,0.4290478639349701
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5']",2,2,0.32856144228583395,0.4290478639349701
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",2,3,0.34080672089724184,0.42886975558662954
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",2,3,0.34080672089724184,0.42886975558662954
"('googletrends', 'casos')","['const', 'googletrends__fiebre__lag_15']",2,2,-0.0025927064689605928,0.0009600297104530586
"('googletrends', 'casos')","['const', 'googletrends__fiebre__lag_15']",2,2,-0.0025927064689605928,0.0009600297104530586
